make,component,complaint_count,crash_count,crash_rate_pct
TOYOTA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,VISIBILITY/WIPER",5,1.0,20.0
TOYOTA,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL,ENGINE",5,1.0,20.0
TOYOTA,"STEERING,LANE DEPARTURE",11,2.0,18.18
TOYOTA,SERVICE BRAKES,414,71.0,17.15
TOYOTA,"ELECTRICAL SYSTEM,AIR BAGS,STRUCTURE",12,2.0,16.67
TOYOTA,"SUSPENSION,SERVICE BRAKES",6,1.0,16.67
TOYOTA,BACK OVER PREVENTION,18,3.0,16.67
TOYOTA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER,ENGINE",7,1.0,14.29
TOYOTA,"SERVICE BRAKES,FUEL/PROPULSION SYSTEM",7,1.0,14.29
TOYOTA,"SEATS,UNKNOWN OR OTHER",7,1.0,14.29
TOYOTA,"POWER TRAIN,ELECTRICAL SYSTEM,SERVICE BRAKES",7,1.0,14.29
TOYOTA,FORWARD COLLISION AVOIDANCE,49,7.0,14.29
TOYOTA,"STEERING,UNKNOWN OR OTHER",15,2.0,13.33
TOYOTA,"VEHICLE SPEED CONTROL,FUEL/PROPULSION SYSTEM",8,1.0,12.5
TOYOTA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,SERVICE BRAKES",8,1.0,12.5
TOYOTA,"UNKNOWN OR OTHER,SERVICE BRAKES,ENGINE",8,1.0,12.5
TOYOTA,"AIR BAGS,SEATS",8,1.0,12.5
TOYOTA,"STEERING,ELECTRICAL SYSTEM",34,4.0,11.76
TOYOTA,"SERVICE BRAKES,ENGINE,FUEL/PROPULSION SYSTEM",9,1.0,11.11
TOYOTA,"ELECTRICAL SYSTEM,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",9,1.0,11.11
TOYOTA,"VEHICLE SPEED CONTROL,ENGINE,FUEL/PROPULSION SYSTEM",9,1.0,11.11
TOYOTA,"POWER TRAIN,ELECTRICAL SYSTEM",28,3.0,10.71
TOYOTA,"EXTERIOR LIGHTING,VISIBILITY/WIPER",11,1.0,9.09
TOYOTA,"STRUCTURE,UNKNOWN OR OTHER",45,4.0,8.89
TOYOTA,WHEELS,58,5.0,8.62
TOYOTA,"ELECTRICAL SYSTEM,STRUCTURE",13,1.0,7.69
